Obs;Description;Requirements;Place;Qualification;DescriptionFirm;Firm;Sector
Pessoa com deficiência;Descrição:                                                                                    Responsável por executar os desenhos dos projetos executivos de arquitetura, detalhamento e sobreposições, executar desenhos de as built de arquitetura e instalações, executar as tabelas das quantificações e especificações dos materiais e memórias de calculo, entre outras atividades.;Formação                                                                                    Superior completo em Arquitetura e Urbanismo.;Local de Trabalho:                                                                                                                        São Paulo                                            /                                            SP                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência em projetos executivos de arquitetura.;Descrição:                                                                                    Treinamento em desenvolvimento profissional e gerencial.;Nome:                                                                                    Consolidar Diversidade;Ramo:                                                                                    Consultoria/ Auditoria
Pessoa com deficiência;Descrição:                                                                                    Responsável por executar os desenhos dos projetos executivos de arquitetura, detalhamento e sobreposições, executar desenhos de as built de arquitetura e instalações, executar as tabelas das quantificações e especificações dos materiais e memórias de calculo, entre outras atividades.;Formação                                                                                    Superior completo em Arquitetura e Urbanismo.;Local de Trabalho:                                                                                                                        São Paulo                                            /                                            SP                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência em projetos executivos de arquitetura.;Descrição:                                                                                    Treinamento em desenvolvimento profissional e gerencial.;Nome:                                                                                    Consolidar Diversidade;Ramo:                                                                                    Consultoria/ Auditoria
;Descrição:                                                                                    Desempenhara todas as atividades relacionadas ao atendimento de pacientes, médicos e consultórios, emissão de notas fiscais, recibos e relatórios.;Formação                                                                                    Superior completo;Local de Trabalho:                                                                                                                        Cuiabá                                            /                                            MT                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência como auxiliar administrativo.;Descrição:                                                                                    Consultoria em recursos humanos.;Nome:                                                                                    RH BRASIL;Ramo:                                                                                    Recursos Humanos/ Recrutamento e seleção
;Descrição:                                                                                    Desempenhara todas as atividades relacionadas ao atendimento de pacientes, médicos e consultórios, emissão de notas fiscais, recibos e relatórios.;Formação                                                                                    Superior completo;Local de Trabalho:                                                                                                                        Cuiabá                                            /                                            MT                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência como auxiliar administrativo.;Descrição:                                                                                    Consultoria em recursos humanos.;Nome:                                                                                    RH BRASIL;Ramo:                                                                                    Recursos Humanos/ Recrutamento e seleção
Pessoa com deficiência;Descrição:                                                                                    Irá realizar demonstração técnica de sistemas, realizar análise técnica de editais.Possuir disponibilidade para viagens.;Formação                                                                                    Ensino superior em Administração de Empresa, Tecnologia da Informação, Ciências da Computação, Análise e Desenvolvimento de Sistemas.;Local de Trabalho:                                                                                                                        Florianópolis                                            /                                            SC                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência em sistemas ERPs.  Possuir conhecimento em saúde pública.;Descrição:                                                                                    A IPM Sistemas atua no ramo de desenvolvimento de sistemas para a gestão pública desde 1996. Prefeituras, Câmaras de Vereadores, Fundos, Autarquias e Fundações são exemplos de órgãos públicos que utilizam os sistemas IPM.  A empresa iniciou suas atividades na cidade catarinense de Rio do Sul e hoje atua em diversos estados brasileiros.  O principal objetivo da IPM é criar soluções em GRP (Softwares de Gestão Pública) para que seus clientes alcancem bons resultados, como o aumento da receita, a diminuição de custos operacionais e a excelente qualidade no atendimento ao cidadão.  Outro objetivo da IPM é criar oportunidades para o crescimento profissional dos servidores públicos, através de atividades mais eficientes e menos burocráticas, que revertam em benefícios para a comunidade como um todo.;Nome:                                                                                    IPM Informática Ltda.;Ramo:                                                                                    Informática/ Tecnologia
Pessoa com deficiência;Descrição:                                                                                    Irá realizar demonstração técnica de sistemas, realizar análise técnica de editais.Possuir disponibilidade para viagens.;Formação                                                                                    Ensino superior em Administração de Empresa, Tecnologia da Informação, Ciências da Computação, Análise e Desenvolvimento de Sistemas.;Local de Trabalho:                                                                                                                        Florianópolis                                            /                                            SC                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência em sistemas ERPs.  Possuir conhecimento em saúde pública.;Descrição:                                                                                    A IPM Sistemas atua no ramo de desenvolvimento de sistemas para a gestão pública desde 1996. Prefeituras, Câmaras de Vereadores, Fundos, Autarquias e Fundações são exemplos de órgãos públicos que utilizam os sistemas IPM.  A empresa iniciou suas atividades na cidade catarinense de Rio do Sul e hoje atua em diversos estados brasileiros.  O principal objetivo da IPM é criar soluções em GRP (Softwares de Gestão Pública) para que seus clientes alcancem bons resultados, como o aumento da receita, a diminuição de custos operacionais e a excelente qualidade no atendimento ao cidadão.  Outro objetivo da IPM é criar oportunidades para o crescimento profissional dos servidores públicos, através de atividades mais eficientes e menos burocráticas, que revertam em benefícios para a comunidade como um todo.;Nome:                                                                                    IPM Informática Ltda.;Ramo:                                                                                    Informática/ Tecnologia
;Descrição:                                                                                    Irá realizar atendimento especializado em Dermatologia  consultas e procedimentos.;Formação                                                                                    Necessário ensino superior completo em Medicina, com certificado   de especialização em Dermatologia.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico dermatologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá realizar atendimento especializado em Dermatologia  consultas e procedimentos.;Formação                                                                                    Necessário ensino superior completo em Medicina, com certificado   de especialização em Dermatologia.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico dermatologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino Superior completo em Medicina, com Especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico oftalmologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino Superior completo em Medicina, com Especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico oftalmologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
